Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,53.889999,55.080002,53.660000,55.049999,51.838028,3688500
2022-10-26,55.450001,57.349998,55.450001,56.910000,53.589504,4805300
2022-10-27,55.000000,55.400002,54.529999,54.750000,51.555534,7214300
2022-10-28,53.439999,53.820000,52.500000,52.830002,49.747562,5573000
2022-10-31,52.500000,53.869999,52.430000,53.349998,50.237217,6098100
2022-11-01,55.520000,55.700001,54.619999,54.970001,51.762699,6204900
2022-11-02,54.770000,54.880001,52.750000,52.779999,49.700474,5399700
2022-11-03,52.290001,53.270000,52.250000,53.020000,49.926472,3292900
2022-11-04,57.340000,58.880001,57.110001,58.340000,54.936069,6579300
2022-11-07,59.439999,59.590000,58.310001,58.459999,55.049068,4429400
2022-11-08,59.160000,60.110001,58.740002,59.520000,56.047222,3447000
2022-11-09,59.380001,60.060001,58.150002,58.349998,54.945484,3903000
2022-11-10,60.220001,60.970001,59.650002,60.810001,57.261955,3364500
2022-11-11,64.440002,65.360001,64.010002,64.709999,60.934402,6469500
2022-11-14,63.490002,64.870003,63.400002,64.239998,60.491825,4065400
2022-11-15,65.930000,66.160004,65.080002,65.279999,61.471142,4085800
2022-11-16,64.820000,65.080002,64.160004,64.510002,60.746075,2862800
2022-11-17,63.099998,64.949997,62.970001,64.930000,61.141567,3515800
2022-11-18,64.989998,65.349998,64.639999,65.190002,61.386398,2786300
2022-11-21,63.500000,64.529999,62.630001,64.279999,60.529491,3985900
2022-11-22,64.849998,65.430000,64.500000,65.199997,61.395809,3134100
2022-11-23,65.360001,66.239998,65.290001,66.139999,62.280968,2248900
2022-11-25,66.139999,66.279999,65.699997,65.730003,61.894894,1079600
2022-11-28,65.510002,66.199997,65.150002,65.199997,61.395809,2748700
2022-11-29,67.089996,68.099998,67.010002,67.860001,63.900616,3820100
2022-11-30,68.379997,68.940002,67.290001,68.639999,64.635101,4925200
2022-12-01,69.419998,70.050003,68.989998,69.180000,65.143593,4277300
2022-12-02,68.360001,70.070000,68.360001,69.820000,65.746254,3632100
2022-12-05,71.279999,71.660004,69.260002,69.459999,65.407257,3487300
2022-12-06,70.339996,70.699997,69.660004,70.339996,66.235916,3863100
2022-12-07,69.410004,70.269997,69.410004,69.849998,65.774498,3027500
2022-12-08,71.309998,72.050003,71.059998,71.800003,67.610733,3021600
2022-12-09,72.349998,73.110001,72.300003,72.489998,68.260468,3386800
2022-12-12,71.610001,71.720001,70.360001,71.129997,66.979813,3498600
2022-12-13,73.230003,73.349998,71.220001,71.610001,67.431816,4019300
2022-12-14,70.650002,71.190002,69.900002,70.720001,66.593742,3312700
2022-12-15,71.320000,71.320000,69.900002,70.449997,66.339493,3472400
2022-12-16,69.160004,69.559998,68.800003,69.430000,65.379013,3987800
2022-12-19,69.360001,69.849998,68.610001,68.860001,64.842270,2343600
2022-12-20,69.349998,70.089996,69.320000,69.629997,65.567337,2142000
2022-12-21,70.529999,71.070000,70.320000,70.739998,66.612572,2350500
2022-12-22,70.120003,70.339996,69.309998,70.290001,66.188835,2109600
2022-12-23,70.669998,70.949997,70.300003,70.790001,66.659660,1407100
2022-12-27,71.489998,71.809998,71.230003,71.430000,67.262321,1444000
2022-12-28,72.029999,72.139999,70.550003,70.629997,66.508987,1903800
2022-12-29,71.339996,71.620003,70.989998,71.089996,66.942146,1968900
2022-12-30,70.930000,71.529999,70.599998,71.199997,67.045731,1122800
2023-01-03,71.029999,71.790001,70.620003,71.059998,66.913902,1979000
2023-01-04,71.519997,71.680000,70.930000,71.540001,67.365898,1734100
2023-01-05,71.629997,72.150002,71.230003,71.949997,67.751976,1581800
2023-01-06,72.800003,74.199997,72.559998,74.070000,69.748283,2810100
2023-01-09,74.900002,75.349998,74.110001,74.150002,69.823608,3126800
2023-01-10,74.919998,75.650002,74.349998,75.610001,71.198425,2221400
2023-01-11,76.279999,76.349998,75.169998,75.349998,70.953598,2356600
2023-01-12,77.209999,77.720001,75.750000,77.680000,73.147652,4020800
2023-01-13,76.919998,77.559998,76.800003,77.550003,73.025238,2205000
2023-01-17,76.459999,76.529999,75.750000,75.970001,71.537422,2624200
2023-01-18,77.720001,78.160004,76.360001,76.400002,71.942337,3624600
2023-01-19,76.419998,77.830002,76.290001,77.320000,72.808655,3609200
2023-01-20,77.250000,78.379997,77.040001,78.379997,73.806808,3673400
2023-01-23,78.580002,78.779999,78.129997,78.760002,74.164642,2369600
2023-01-24,79.830002,79.830002,77.290001,78.989998,74.381218,2305100
2023-01-25,78.559998,79.940002,78.540001,79.879997,75.219292,2161400
2023-01-26,80.279999,80.519997,79.320000,80.400002,75.708954,2908000
2023-01-27,79.279999,79.820000,77.750000,79.610001,74.965042,4268600
2023-01-30,78.980003,79.739998,78.930000,78.930000,74.324715,2394900
2023-01-31,78.410004,79.400002,78.129997,79.349998,74.720215,2032000
2023-02-01,78.089996,79.389999,76.949997,79.089996,74.475380,4121300
2023-02-02,77.059998,77.110001,74.709999,75.150002,70.765266,5612600
2023-02-03,75.339996,76.089996,74.599998,74.709999,70.350937,3002000
2023-02-06,73.820000,74.000000,73.070000,73.879997,69.569366,2412500
2023-02-07,74.089996,75.110001,73.449997,74.639999,70.285027,2630100
2023-02-08,74.529999,74.860001,74.010002,74.349998,70.011940,2226200
2023-02-09,75.769997,75.779999,74.150002,74.370003,70.030777,1938100
2023-02-10,73.199997,73.339996,72.449997,73.320000,69.042038,3051100
2023-02-13,73.059998,74.029999,72.879997,74.000000,69.682365,1905200
2023-02-14,74.040001,75.019997,73.779999,74.699997,70.341515,2168000
2023-02-15,72.209999,74.459999,72.000000,74.430000,70.087280,2428300
2023-02-16,74.070000,75.440002,73.900002,74.910004,70.539268,2090600
2023-02-17,74.150002,74.529999,73.839996,74.440002,70.096695,2198700
2023-02-21,76.129997,76.540001,75.129997,75.379997,70.981850,2769100
2023-02-22,73.349998,73.629997,72.040001,72.849998,68.599464,3883200
2023-02-23,72.309998,72.410004,70.449997,71.489998,67.318810,3770200
2023-02-24,69.269997,69.400002,68.400002,68.900002,64.879936,3987400
2023-02-27,68.730003,69.489998,68.300003,69.160004,65.124763,3457100
2023-02-28,69.550003,70.510002,69.059998,69.730003,65.661507,3280500
2023-03-01,72.250000,73.110001,72.019997,72.709999,68.467628,4599900
2023-03-02,72.339996,73.919998,72.279999,73.739998,69.437538,2824300
2023-03-03,75.120003,75.300003,74.550003,75.180000,70.793518,2956400
2023-03-06,73.019997,73.080002,72.360001,72.709999,68.467628,3550600
2023-03-07,72.230003,72.320000,70.410004,70.620003,66.499580,3787900
2023-03-08,71.250000,71.860001,71.169998,71.580002,67.403564,3699200
2023-03-09,69.489998,69.699997,68.000000,68.220001,66.324409,3571100
2023-03-10,68.580002,69.440002,67.470001,67.540001,65.663300,3333700
2023-03-13,66.610001,68.889999,66.570000,68.410004,66.509132,4091900
2023-03-14,68.699997,69.570000,68.459999,69.389999,67.461891,3487900
2023-03-15,66.620003,67.150002,64.610001,65.870003,64.039703,6475300
2023-03-16,64.190002,65.300003,64.110001,64.730003,62.931385,9811800
2023-03-17,65.019997,65.050003,64.029999,64.669998,62.873047,9661300
2023-03-20,65.879997,66.690002,65.750000,66.459999,64.613312,4299700
2023-03-21,66.959999,67.099998,65.459999,65.980003,64.146652,3810300
2023-03-22,65.480003,66.430000,65.000000,65.050003,63.242493,2833200
2023-03-23,65.279999,65.839996,64.190002,64.599998,62.804993,3378900
2023-03-24,64.730003,65.050003,64.239998,64.669998,62.873047,3214400
2023-03-27,65.029999,65.370003,64.570000,65.089996,63.281372,2154900
2023-03-28,65.709999,66.449997,65.589996,66.059998,64.224419,2251600
2023-03-29,66.800003,67.110001,66.529999,66.830002,64.973030,2722600
2023-03-30,68.070000,68.209999,67.660004,68.110001,66.217461,2779500
2023-03-31,68.080002,68.730003,68.029999,68.599998,66.693848,4221700
2023-04-03,68.120003,68.580002,67.470001,68.089996,66.198013,3426500
2023-04-04,67.760002,67.769997,66.660004,66.930000,65.070251,2883100
2023-04-05,66.540001,67.230003,66.339996,66.849998,64.992470,2825100
2023-04-06,66.980003,67.040001,66.250000,66.750000,64.895248,1805800
2023-04-10,66.930000,67.370003,66.599998,67.190002,65.323029,1322100
2023-04-11,69.070000,70.099998,69.000000,69.610001,67.675781,3031300
2023-04-12,69.919998,70.070000,69.169998,69.430000,67.500786,2479000
2023-04-13,70.160004,70.360001,69.419998,69.900002,67.957726,4152300
2023-04-14,69.330002,69.550003,68.110001,68.580002,66.674400,2617700
2023-04-17,69.519997,69.820000,69.010002,69.209999,67.286896,2357900
2023-04-18,69.669998,70.550003,69.589996,70.410004,68.453560,2255500
2023-04-19,69.610001,69.669998,68.839996,69.209999,67.286896,2964000
2023-04-20,68.449997,68.760002,66.910004,67.300003,65.429970,4319000
2023-04-21,64.820000,64.879997,63.750000,64.580002,62.785549,6660200
2023-04-24,64.250000,64.820000,64.099998,64.459999,62.668880,3327600
2023-04-25,62.889999,62.910000,61.950001,62.139999,60.413345,3991800
2023-04-26,64.050003,64.050003,62.740002,62.939999,61.191116,4173600
2023-04-27,63.220001,63.720001,62.860001,63.700001,61.930000,3467500
2023-04-28,63.580002,64.070000,63.459999,63.990002,62.211945,2974000
2023-05-01,64.239998,64.400002,63.080002,63.169998,61.414726,2583800
2023-05-02,62.340000,62.410000,61.450001,62.119999,60.393902,3883100
2023-05-03,62.400002,62.759998,61.869999,62.009998,60.286957,3271500
